CaseID,weight_pop,B3,ND2,B7_a,GH1,educ_4cat,ppethm
1,12033.6823,5,2,2,3,4,1
2,21579.2115,3,3,2,2,4,1
3,20043.8925,3,3,2,3,3,4
4,21793.3678,2,3,1,3,4,1
5,13900.4068,2,1,3,1,4,1
6,19712.6649,2,3,2,1,2,1
7,21304.4017,2,3,1,3,4,1
8,22073.6463,3,3,1,3,3,2
9,19689.1633,3,2,2,3,3,1
10,11108.9163,3,3,2,3,4,1
11,22386.3929,3,2,3,4,2,1
12,12868.1023,1,2,2,1,4,1
13,9879.7232,4,3,3,1,4,1
14,14052.8508,2,1,3,1,4,1
15,22386.3929,3,3,1,2,2,1
16,5007.2256,2,3,3,2,3,5
17,24377.4595,2,3,1,1,3,1
18,11108.9163,2,2,1,2,4,1
19,14146.183,1,3,1,2,3,1
20,23769.8113,3,3,2,3,3,1
21,19419.7496,3,3,2,1,3,1
22,44091.6919,4,2,3,1,3,3
23,26564.0534,3,3,3,2,1,5
24,13150.606,2,3,2,2,3,1
25,18746.3744,2,3,2,1,2,1
26,15327.3057,3,3,2,1,2,1
27,18880.3487,2,3,1,2,3,1
28,36242.7783,3,3,3,2,2,1
29,24602.1489,3,3,2,1,2,2
30,16302.7652,4,3,2,1,4,1
31,26867.235,3,2,3,1,2,2
32,33308.8772,5,3,3,1,3,3
33,22420.6834,5,3,3,2,3,4
34,16834.7006,5,3,3,3,4,4
35,42203.7391,4,2,2,1,2,4
36,27385.2386,2,2,1,3,3,2
37,9731.6919,2,3,2,1,4,1
38,10151.1496,3,3,3,2,4,1
39,13758.0583,2,3,1,1,2,1
40,15092.0511,2,3,2,1,4,1
41,12953.5659,2,3,2,2,3,1
42,21050.3141,3,2,3,1,4,2
43,15464.7741,2,3,2,2,3,1
44,20250.2455,3,3,2,2,2,1
45,16098.9296,3,2,2,3,2,1
46,78692.7234,3,2,3,1,3,3
47,18038.7617,2,2,2,3,2,1
48,16302.7652,5,3,3,1,4,1
49,15091.212,1,4,1,2,3,1
50,11377.0649,2,2,2,2,4,3
51,23235.1701,3,3,3,3,2,2
52,8441.2201,3,1,2,2,4,1
53,12111.1869,2,2,1,2,2,1
54,28952.7311,2,4,2,3,3,3
55,20185.446,1,3,2,2,4,3
56,34027.5749,2,3,3,4,2,1
57,44091.6919,4,3,2,1,3,3
58,16844.592,3,1,3,2,3,1
59,13095.626,2,3,3,1,3,1
60,15280.2056,3,3,1,1,3,1
61,16562.8515,3,3,2,1,4,1
62,15472.8743,2,2,3,1,4,1
63,16329.0748,3,2,3,3,4,1
64,15525.1982,2,3,1,1,4,1
65,13063.8424,3,3,2,2,4,1
66,28383.1341,3,2,3,1,2,1
67,13967.3358,3,3,1,1,2,1
68,23346.0505,1,3,1,1,2,1
69,15280.2056,2,3,3,2,3,1
70,13914.758,2,3,2,1,4,1
71,23445.1546,1,3,1,1,3,1
72,17523.5629,3,2,3,3,4,1
73,16733.4566,3,2,3,3,4,1
74,14140.9356,2,3,3,2,4,1
75,19484.1217,1,3,3,4,4,4
76,22689.5099,1,2,1,1,3,1
77,17821.3844,3,3,2,1,3,1
78,12153.1069,5,3,1,2,4,1
79,24619.3862,2,3,2,2,2,1
80,10512.3875,3,2,3,1,4,1
81,43044.9865,3,3,2,1,3,3
82,20411.4205,3,3,3,3,2,1
83,13063.8424,3,3,3,2,4,1
84,15321.6202,3,2,2,1,4,1
85,13063.8424,2,3,1,1,4,1
86,20174.8978,4,1,3,1,4,1
87,18265.9019,2,3,2,4,1,1
88,21793.3678,3,2,3,2,4,1
89,16814.7934,3,2,3,2,4,1
90,24347.811,5,3,3,2,3,1
91,18880.3487,2,2,2,1,3,1
92,20089.3827,3,2,3,2,3,1
93,6372.5699,3,2,3,4,4,5
94,28784.3601,3,2,3,1,2,1
95,21493.2073,3,2,3,1,4,2
96,15321.6202,4,1,2,2,4,1
97,16142.5632,3,3,3,2,4,1
98,30155.2989,3,3,2,4,2,1
99,27746.4885,4,2,3,1,4,1
100,14149.361,2,3,2,2,3,1
101,25652.3835,2,3,2,2,3,1
102,26883.5313,3,2,4,2,4,1
103,13813.4652,2,3,2,1,3,1
104,15529.7006,1,1,1,1,3,1
106,21793.3678,3,2,3,2,4,1
107,21515.8307,2,3,3,2,4,1
108,18596.2755,3,3,2,2,2,1
109,8930.4961,2,3,2,1,4,1
110,9028.7879,1,3,2,2,4,1
111,27473.8328,4,3,2,2,4,1
112,25577.0393,4,3,1,1,3,1
113,16098.9296,3,3,1,3,3,1
114,9028.7879,2,5,3,3,4,1
115,21579.2115,2,3,3,1,4,1
116,23429.6804,3,3,2,1,4,1
117,19612.475,2,3,1,1,3,1
118,39606.6613,3,1,3,1,4,3
119,10953.9648,3,2,2,2,4,2
120,16302.7652,2,3,1,2,4,1
121,32659.6408,3,3,2,1,3,1
122,17159.0665,1,1,2,4,4,3
123,30885.9165,3,3,3,3,2,2
124,10739.5377,2,3,1,2,4,1
125,27029.4281,2,3,3,1,3,1
126,14715.7153,3,3,3,1,2,1
127,37098.8271,4,3,1,1,4,2
128,19790.4153,2,4,2,1,4,1
129,16308.8148,3,3,2,1,3,1
130,21612.2715,1,3,2,1,2,1
131,17173.8704,3,3,3,1,4,2
132,16302.7652,1,3,1,1,4,1
133,13758.0583,4,3,1,3,2,1
134,12033.6823,3,1,2,2,4,1
135,11435.6574,2,3,2,1,4,4
136,9118.3914,3,3,3,1,4,1
137,15700.0129,3,2,2,1,3,1
138,23602.0837,1,1,3,3,2,1
139,12225.0555,3,3,2,2,3,1
140,12641.8712,3,3,3,3,4,1
141,10151.1496,3,2,3,1,4,1
142,32228.2411,2,2,3,1,2,4
143,10965.274,3,2,3,2,4,2
144,16200.3783,2,3,1,2,3,1
145,13758.0583,4,3,1,2,2,1
146,17903.5345,3,3,2,2,2,1
147,22087.8618,3,3,2,4,4,3
149,15954.8828,3,3,2,2,3,2
150,36936.9117,5,3,3,2,2,4
151,20771.9856,2,3,3,1,4,4
152,13704.3897,3,3,3,1,3,1
153,18215.8346,5,1,4,1,4,1
154,16098.9296,3,3,2,3,2,1
155,10965.4948,3,1,2,2,4,1
156,29857.8076,3,3,2,2,2,1
157,4064.5996,3,2,3,2,4,5
158,13164.0939,3,2,1,1,4,4
159,14149.361,2,3,2,1,3,1
160,14981.7128,1,3,1,3,2,1
161,21883.5087,4,3,2,1,4,1
162,3666.6386,2,2,2,2,4,5
163,19917.9717,2,3,3,2,4,1
164,6774.3699,2,3,2,2,4,1
165,13992.7265,3,3,3,2,3,1
166,17215.2353,2,3,2,1,2,1
167,14104.0969,2,3,1,2,3,1
168,20846.6562,3,2,2,2,4,1
169,23443.4148,3,3,2,3,2,1
170,19771.8252,2,2,2,2,3,1
171,16899.5227,3,3,3,1,4,1
173,20185.446,2,2,2,1,4,3
174,12953.5659,4,3,2,2,3,1
175,13289.8954,2,2,3,3,4,1
176,15923.6687,2,3,1,1,2,1
177,11881.0489,3,3,3,2,4,1
178,16361.1544,3,3,3,1,3,1
180,31689.7412,2,3,3,1,2,1
181,16705.3888,3,1,2,1,3,1
182,16098.9296,3,3,2,1,2,1
183,24781.5552,3,3,2,1,3,1
184,11435.6574,3,3,2,2,4,4
185,15051.257,3,3,2,1,3,1
186,21279.8529,4,1,1,3,4,1
187,29627.4629,3,3,2,1,2,1
188,19493.8887,3,1,2,1,4,1
189,16258.6986,2,2,3,1,2,1
190,16853.3823,2,3,2,4,4,1
191,16705.3888,2,1,3,2,3,1
192,20472.3273,2,4,2,2,2,1
193,49160.2132,4,3,3,1,2,2
194,32659.6408,3,4,4,1,3,1
195,14140.9356,3,3,3,4,4,1
196,36661.5283,4,3,2,3,3,1
197,7723.2211,2,3,3,2,4,1
198,21983.5413,5,3,3,1,3,1
199,17215.2353,3,3,3,2,2,1
200,17443.7602,1,3,1,2,4,1
201,14001.9772,2,3,3,1,4,1
203,16705.3888,2,3,2,2,2,1
204,26726.6534,3,3,3,1,3,1
205,23922.6348,4,3,3,1,4,1
206,13992.7265,2,2,2,2,3,1
207,28220.6405,2,4,2,1,4,1
208,16899.5227,1,3,3,1,4,1
209,16860.3265,3,2,3,2,3,1
210,13294.827,2,3,1,1,3,1
211,15321.6202,3,3,4,1,4,1
212,18596.2755,4,3,3,3,2,1
213,18880.3487,3,3,3,1,3,1
214,17668.7699,3,3,2,1,2,1
215,22146.0361,5,2,3,1,4,1
216,8930.8445,2,2,2,2,4,1
217,22146.0361,3,3,3,2,4,1
218,22608.5599,3,3,2,1,2,1
219,23429.6804,3,3,3,1,4,1
220,18746.3744,3,2,3,1,2,1
221,10151.1496,1,4,2,1,4,1
222,21306.2659,3,1,2,3,2,1
223,30385.991,2,3,2,3,1,2
224,27029.3891,3,3,1,1,2,1
225,15092.0511,2,2,2,1,4,1
226,16705.3888,2,3,2,2,3,1
227,22608.5599,2,3,1,1,2,1
228,20481.7834,4,2,3,1,4,1
229,12225.0555,3,5,2,1,3,1
230,27029.3891,3,3,1,2,3,1
231,14052.8508,2,3,1,1,4,1
232,19240.2467,3,2,2,3,3,1
233,19158.899,2,3,3,2,4,3
234,21793.3678,3,1,3,1,4,1
235,19832.965,3,3,3,1,2,1
236,19035.0953,1,3,1,4,2,1
237,15644.4908,3,3,2,2,4,1
238,15529.7006,3,3,2,1,3,1
239,19612.475,2,3,2,2,3,1
240,13289.8954,3,3,2,2,4,1
241,11523.7731,2,3,2,2,4,1
242,28968.0356,1,2,1,3,2,1
243,6372.5699,3,2,2,2,4,5
244,8930.4961,3,3,3,2,4,1
245,20051.2529,3,3,2,2,3,1
246,35768.9177,2,3,2,3,3,1
247,29418.298,3,3,2,3,1,1
248,29175.7723,3,3,2,3,1,1
249,13577.5963,3,3,1,1,3,1
250,20617.8134,3,2,3,1,3,1
251,23413.66,3,3,3,2,3,1
252,23677.5774,1,3,3,1,3,1
253,22120.083,3,2,2,3,3,2
254,33835.2764,3,3,1,3,3,2
255,19475.5771,2,3,3,1,3,1
256,27746.4885,3,3,2,2,4,1
257,25296.5197,4,3,2,4,3,1
258,9626.1235,3,2,2,3,4,1
259,21736.5157,3,3,3,3,3,4
260,18558.9973,3,3,3,1,3,2
261,28104.2223,2,3,2,2,2,1
262,6995.186,1,3,1,1,4,5
263,31748.7865,2,3,2,2,2,1
264,20250.2455,2,3,2,2,2,1
265,37592.4328,3,3,2,1,4,3
266,15529.7006,2,3,2,2,3,1
